Id,Burg,Province,Province Full Name,State,State Full Name,Culture,Religion,Population,X,Y,Latitude,Longitude,Elevation (ft),Temperature,Temperature likeness,Capital,Port,Citadel,Walls,Plaza,Temple,Shanty Town,Emblem,City Generator Link
11,Kilkley,Cocheaplia,Cocheaplia Parish,Withamberia,Diocese of Withamberia,Kentian,Norwickism,4089,300.5,325.5,10.26,-45.15,161,100°F,Mecca,capital,port,citadel,walls,,temple,,{t1:gules;charges:[{charge:goat;t:argent;p:jln;size:0.7}];shield:heater},https://watabou.github.io/city-generator/?name=Kilkley&population=4089&size=22&seed=8194174370011&river=0&coast=1&farms=1&citadel=1&urban_castle=0&hub=false&plaza=0&temple=1&walls=1&shantytown=0&gates=-1&sea=0.61
12,Milces,Forough,Forough Margrave,Milcesia,Duchy of Milcesia,Kentian,Norwickism,16243,213.5,340.25,9.03,-52.43,82,100°F,Mecca,capital,port,citadel,walls,plaza,,,{t1:argent;division:{division:chevronny;t:vert};charges:[{charge:armillarySphere;t:gules;p:e;divided:counter;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Milces&population=16243&size=37&seed=8194174370012&river=0&coast=1&farms=1&citadel=1&urban_castle=1&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1&sea=1.26
13,Cockingra,Harleigh,Harleigh County,Chiptonby,Protectorate of Chiptonby,Westen,Norwickism,4054,724.5,442,0.51,-9.67,13,102°F,Mecca,capital,port,citadel,walls,,,,{t1:argent;ordinaries:[{ordinary:pile;t:azure}];shield:heater},https://watabou.github.io/city-generator/?name=Cockingra&population=4054&size=22&seed=8194174370013&river=0&coast=1&farms=1&citadel=1&urban_castle=0&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1&sea=0.14
14,Gooch Town,Cleoli,Cleoli Parish,Seavedonia,Holy State of Seavedonia,Westen,Dudid Deities,5200,757,523.5,-6.31,-6.95,13,102°F,Mecca,capital,port,citadel,walls,,temple,,{t1:azure;charges:[{charge:cowHorns;t:or;p:e;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Gooch+Town&population=5200&size=24&seed=8194174370014&river=0&coast=1&farms=1&citadel=1&urban_castle=1&hub=false&plaza=0&temple=1&walls=1&shantytown=0&gates=-1&sea=0.5
15,Kraft,Brur,Brur County,Ardg,Ardg Empire,Uruk,Uruk Deities,21954,1675.26,337.15,9.28,69.9,3360,88°F,Mecca,capital,,citadel,walls,,,,{t1:azure;division:{division:perCross;t:argent;line:dovetailed};charges:[{charge:horseSalient;t:or;p:e;divided:counter;size:1.5}];shield:urukHai},https://watabou.github.io/city-generator/?name=Kraft&population=21954&size=42&seed=8194174370015&river=1&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1
16,Kediton,Kediton,Kediton County,Comburghia,Kingdom of Comburghia,Westen,Norwickism,3809,281,589.75,-11.85,-46.78,30,100°F,Mecca,capital,port,citadel,walls,plaza,,,{t1:azure;ordinaries:[{ordinary:pale;t:or;line:nowyReversed}];charges:[{charge:sunInSplendour;t:sable;p:beh;size:0.5}];shield:heater},https://watabou.github.io/city-generator/?name=Kediton&population=3809&size=21&seed=8194174370016&river=0&coast=1&farms=1&citadel=1&urban_castle=1&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1&sea=1.39
17,Behambeley,Warwickia,Warwickia Parish,Towcesland,Brotherhood of Towcesland,Mercian,Thetford Cult,10835,336.3,197,21.01,-42.15,30,91°F,Mecca,,,citadel,,plaza,temple,,{t1:argent;ordinaries:[{ordinary:bendSinister;t:gules;line:engrailed}];charges:[{charge:crossSantiago;t:or;p:lem;size:0.5}];shield:heater},https://watabou.github.io/city-generator/?name=Behambeley&population=10835&size=32&seed=8194174370017&river=1&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=1&temple=1&walls=0&shantytown=0&gates=-1
18,Boumaracraf,Abernantia,Abernantia County,Arania,Principality of Arania,Keltan,Norwickism,14194,281.12,66.18,31.96,-46.77,30,75°F,Dakar,,,,walls,plaza,,,{t1:or;ordinaries:[{ordinary:bendletSinister;t:purpure;line:straight}];shield:vesicaPiscis},https://watabou.github.io/city-generator/?name=Boumaracraf&population=14194&size=35&seed=8194174370018&river=0&coast=0&farms=0&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
19,Congforden,Thetford,Thetford Deanery,Towcesland,Brotherhood of Towcesland,Mercian,Thetford Cult,4918,311.37,262.07,15.57,-44.24,30,99°F,Mecca,,,,,,temple,,{t1:argent;ordinaries:[{ordinary:piles;t:sable}];charges:[{charge:raven;t:sable;p:e;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Congforden&population=4918&size=24&seed=8194174370019&river=0&coast=0&farms=0&citadel=0&urban_castle=0&hub=false&plaza=0&temple=1&walls=0&shantytown=0&gates=-1
20,Childon,Olcesbonia,Olcesbonia Margrave,Swasings,Principality of Swasings,Westen,Norwickism,18326,930.91,643.29,-16.34,7.61,30,99°F,Mecca,,,citadel,walls,,,,{t1:vert;division:{division:perChevronReversed;t:argent;line:straight};ordinaries:[{ordinary:bordure;t:or}];shield:heater},https://watabou.github.io/city-generator/?name=Childon&population=18326&size=39&seed=8194174370020&river=0&coast=0&farms=0&citadel=1&urban_castle=1&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1
21,Mazion,Guild,Guild Earldom,Chichia,Grand Duchy of Chichia,Westen,Norwickism,3899,399,658.5,-17.61,-36.91,13,99°F,Mecca,,port,citadel,walls,,,,{t1:or;ordinaries:[{ordinary:fess;t:gules;line:straight}];charges:[{charge:crossBottony;t:argent;p:e;size:0.7}];shield:heater},https://watabou.github.io/city-generator/?name=Mazion&population=3899&size=22&seed=8194174370021&river=1&coast=1&farms=1&citadel=1&urban_castle=0&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1&sea=1.17
22,Withambe,Cocheaplia,Cocheaplia Parish,Withamberia,Diocese of Withamberia,Kentian,Norwickism,5827,304.42,352.4,8.01,-44.82,30,100°F,Mecca,,,citadel,,,temple,,{t1:barry-gules-argent;charges:[{charge:billet;t:or;p:e;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Withambe&population=5827&size=25&seed=8194174370022&river=0&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=0&temple=1&walls=0&shantytown=0&gates=-1
23,Ar'th'hish,Ar'th'hish,Ar'th'hish Margrave,Sor'thaz,Kingdom of Sor'thaz,Aj'Snaga,Norwickism,16793,167.47,448.29,-0.02,-56.28,30,102°F,Mecca,,,citadel,walls,plaza,,,{t1:gules;charges:[{charge:mullet4;t:or;p:e;size:1.5}];shield:fantasy1},https://watabou.github.io/city-generator/?name=Ar%27th%27hish&population=16793&size=38&seed=8194174370023&river=0&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
24,Leightongay,Leightongay,Leightongay Margrave,Swasings,Principality of Swasings,Westen,Norwickism,12747,907.5,631.5,-15.35,5.65,13,99°F,Mecca,,,,,plaza,,,{t1:argent;charges:[{charge:crossFourchy;t:sable;p:jln;size:0.7}];shield:heater},https://watabou.github.io/city-generator/?name=Leightongay&population=12747&size=34&seed=8194174370024&river=0&coast=0&farms=0&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
25,Mazion,Cleoliveria,Cleoliveria County,Comburghia,Kingdom of Comburghia,Westen,Norwickism,1964,278.84,534.61,-7.24,-46.96,52,100°F,Mecca,,,citadel,,,,,{t1:gules;division:{division:gyronny;t:argent};charges:[{charge:crown;t:or;p:def;divided:counter;size:0.5}];shield:heater},https://watabou.github.io/city-generator/?name=Mazion&population=1964&size=17&seed=8194174370025&river=0&coast=0&farms=0&citadel=1&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
26,Noston,Noston,Noston County,Chawburia,Duchy of Chawburia,Westen,Norwickism,13851,250.46,445.12,0.25,-49.34,13,102°F,Mecca,,,citadel,walls,,,,{t1:azure;charges:[{charge:eagle;t:argent;p:abc;size:0.5}];shield:heater},https://watabou.github.io/city-generator/?name=Noston&population=13851&size=35&seed=8194174370026&river=1&coast=0&farms=0&citadel=1&urban_castle=1&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1
27,Methin'ki,Par'has,Par'has County,Sor'thaz,Kingdom of Sor'thaz,Aj'Snaga,Norwickism,3895,106.85,476.47,-2.37,-61.36,161,102°F,Mecca,,,,,plaza,,,{t1:sable;charges:[{charge:lute;t:or;p:abc;size:0.5}];shield:fantasy1},https://watabou.github.io/city-generator/?name=Methin%27ki&population=3895&size=22&seed=8194174370027&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
28,Helsheadmin,Thetford,Thetford Earldom,Comburghia,Kingdom of Comburghia,Westen,Norwickism,1967,243.38,561.42,-9.48,-49.93,82,100°F,Mecca,,,citadel,walls,,,,{t1:azure;charges:[{charge:boat2;t:argent;p:e;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Helsheadmin&population=1967&size=17&seed=8194174370028&river=0&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1
29,Kiningtham,Oswestheria,Oswestheria Earldom,Comburghia,Kingdom of Comburghia,Westen,Norwickism,9059,269.3,556.6,-9.08,-47.76,82,100°F,Mecca,,,citadel,,plaza,,,{t1:azure;charges:[{charge:bugleHorn2;t:argent;p:e;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Kiningtham&population=9059&size=30&seed=8194174370029&river=0&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
30,Frample,Rraj'hass,Rraj'hass Captaincy,Sor'thaz,Kingdom of Sor'thaz,Kentian,Norwickism,5326,178.63,371.31,6.43,-55.35,82,102°F,Mecca,,,,walls,,,,{t1:azure;division:{division:perFess;t:or;line:nowy};charges:[{charge:attire;t:argent;p:kmo;divided:counter;size:0.5}];shield:heater},https://watabou.github.io/city-generator/?name=Frample&population=5326&size=24&seed=8194174370030&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=true&plaza=0&temple=0&walls=1&shantytown=0&gates=-1
31,Cakka,Par'has,Par'has County,Sor'thaz,Kingdom of Sor'thaz,Aj'Snaga,Norwickism,2570,117,462.4,-1.2,-60.51,52,102°F,Mecca,,,citadel,,plaza,,,{t1:or;charges:[{charge:billet;t:gules;p:bhdf;size:0.5}];shield:fantasy1},https://watabou.github.io/city-generator/?name=Cakka&population=2570&size=19&seed=8194174370031&river=1&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
32,Krash,Nij'jus,Nij'jus Earldom,Sor'thaz,Kingdom of Sor'thaz,Aj'Snaga,Norwickism,9618,53.94,632.03,-15.39,-65.79,2392,90°F,Mecca,,,,,plaza,,,{t1:purpure;division:{division:perPale;t:argent;line:straight};ordinaries:[{ordinary:orle;t:or}];shield:fantasy1},https://watabou.github.io/city-generator/?name=Krash&population=9618&size=30&seed=8194174370032&river=0&coast=0&farms=0&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
33,Horscom,Horscom,Horscom Parish,Towcesland,Brotherhood of Towcesland,Mercian,Thetford Cult,55363,335.5,215,19.51,-42.22,30,93°F,Mecca,,port,citadel,walls,plaza,temple,,{t1:vairEnPointe-or-azure;division:{division:perPale;t:vert;line:straight};ordinaries:[{ordinary:mount;t:gules}];shield:heater},https://watabou.github.io/city-generator/?name=Horscom&population=55363&size=59&seed=8194174370033&river=1&coast=1&farms=1&citadel=1&urban_castle=0&hub=false&plaza=1&temple=1&walls=1&shantytown=0&gates=-1&sea=1.46
34,Retleymewes,Guild,Guild Earldom,Chichia,Grand Duchy of Chichia,Westen,Norwickism,27227,393,647,-16.65,-37.41,13,99°F,Mecca,,port,,walls,plaza,,shanty town,{t1:gules;division:{division:perBend;t:argent;line:straight};charges:[{charge:eagle;t:or;p:l;size:0.7};{charge:sword;t:purpure;p:m;size:0.7}];shield:heater},https://watabou.github.io/city-generator/?name=Retleymewes&population=27227&size=45&seed=8194174370034&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=1&gates=-1&sea=1.49
35,Kraj'tak,Krash,Krash County,Sor'thaz,Kingdom of Sor'thaz,Aj'Snaga,Norwickism,1966,182.84,396.73,4.3,-55,13,102°F,Mecca,,,,,plaza,,,{t1:sable;division:{division:perSaltire;t:argent};charges:[{charge:goutte;t:or;p:b;size:0.5};{charge:inescutcheon;t:azure;p:d;size:0.5};{charge:eagle;t:gules;p:f;size:0.5};{charge:garb;t:argent;p:h;size:0.5}];shield:fantasy1},https://watabou.github.io/village-generator/?pop=1966&name=&seed=8194174370035&width=1600&height=727&tags=river%2Chighway%2Cfarmland%2Cno+orchards%2Cdense
36,Ellen,Skalen,Skalen Margrave,Sor'thaz,Kingdom of Sor'thaz,Aj'Snaga,Norwickism,1646,209.96,426.08,1.84,-52.73,30,102°F,Mecca,,,citadel,walls,plaza,,,{t1:purpure;charges:[{charge:anvil;t:or;p:e;size:1.5}];shield:fantasy1},https://watabou.github.io/city-generator/?name=Ellen&population=1646&size=16&seed=8194174370036&river=0&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
37,Redcke,Redcke,Redcke County,Comburghia,Kingdom of Comburghia,Westen,Norwickism,9179,265.06,607.65,-13.35,-48.12,30,100°F,Mecca,,,citadel,,plaza,,,{t1:argent;charges:[{charge:horseshoe;t:gules;p:e;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Redcke&population=9179&size=30&seed=8194174370037&river=0&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
38,Zgobtown,Cleoli,Cleoli Parish,Seavedonia,Holy State of Seavedonia,Westen,Dudid Deities,2126,762.22,534.6,-7.24,-6.51,13,100°F,Mecca,,,citadel,,,temple,,{t1:sable;division:{division:gyronny;t:argent};charges:[{charge:heron;t:or;p:e;divided:counter;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Zgobtown&population=2126&size=17&seed=8194174370038&river=0&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=0&temple=1&walls=0&shantytown=0&gates=-1
39,Stapton,Stapton,Stapton County,Ardg,Ardg Empire,Nortumbic,Nortumbic Beliefs,13315,1533.31,465.13,-1.43,58.02,4738,86°F,Khartoum,,,citadel,,,,,{t1:or;division:{division:perCross;t:sable;line:straight};charges:[{charge:fountain;t:azure;p:j;size:0.6};{charge:mullet6Pierced;t:or;p:l;size:0.6};{charge:angel;t:argent;p:m;size:0.6};{charge:crossMoline;t:azure;p:o;size:0.6}];shield:heater},https://watabou.github.io/city-generator/?name=Stapton&population=13315&size=34&seed=8194174370039&river=0&coast=0&farms=0&citadel=1&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
40,Invero,Rord,Rord County,Arania,Principality of Arania,Keltan,Norwickism,1419,326.5,87,30.22,-42.98,52,79°F,Jakarta,,port,,walls,plaza,,,{t1:gules;charges:[{charge:fusil;t:argent;p:abcpqh;size:0.5}];shield:vesicaPiscis},https://watabou.github.io/city-generator/?name=Invero&population=1419&size=15&seed=8194174370040&river=0&coast=1&farms=0&citadel=0&urban_castle=0&hub=true&plaza=1&temple=0&walls=1&shantytown=0&gates=-1&sea=0.02
41,Foroughbrid,Alblewen,Alblewen County,Milcesia,Duchy of Milcesia,Kentian,Norwickism,2739,227.75,381.5,5.57,-51.24,118,102°F,Mecca,,port,,,plaza,,,{t1:gules;division:{division:perCross;t:or;line:wavy};charges:[{charge:trefle;t:argent;p:jl;divided:counter;size:0.7}];shield:heater},https://watabou.github.io/city-generator/?name=Foroughbrid&population=2739&size=19&seed=8194174370041&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1&sea=1.26
42,Maless,Merden,Merden County,Knutsdonia,Grand Duchy of Knutsdonia,Aj'Snaga,Norwickism,2931,162.5,516.5,-5.72,-56.7,30,102°F,Mecca,,port,,,,,,{t1:purpure;ordinaries:[{ordinary:pale;t:argent;line:straight}];charges:[{charge:fusil;t:argent;p:y;size:0.5}];shield:fantasy1},https://watabou.github.io/city-generator/?name=Maless&population=2931&size=19&seed=8194174370042&river=1&coast=1&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&sea=1.17
43,Wargin,Forough,Forough Margrave,Milcesia,Duchy of Milcesia,Kentian,Norwickism,3133,197.71,357.67,7.57,-53.75,118,100°F,Mecca,,,,walls,plaza,,,{t1:purpure;ordinaries:[{ordinary:label;t:or;line:straight}];charges:[{charge:crossPattee;t:or;p:pqn;size:0.5}];shield:heater},https://watabou.github.io/city-generator/?name=Wargin&population=3133&size=20&seed=8194174370043&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
44,Tetham,Burmingley,Burmingley County,Swasings,Principality of Swasings,Westen,Norwickism,1942,999.27,631.7,-15.37,13.33,210,99°F,Mecca,,,,walls,,,,{t1:sable;division:{division:perPale;t:gules;line:escartely};shield:heater},https://watabou.github.io/city-generator/?name=Tetham&population=1942&size=17&seed=8194174370044&river=0&coast=0&farms=0&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1
45,Aberldynon,Digionvele,Digionvele Earldom,Afespia,Kingdom of Afespia,Keltan,Norwickism,6596,45.45,264.9,15.33,-66.5,1184,95°F,Mecca,,,citadel,walls,plaza,,,{t1:argent;charges:[{charge:dragonRampant;t:azure;p:e;size:1.5}];shield:vesicaPiscis},https://watabou.github.io/city-generator/?name=Aberldynon&population=6596&size=26&seed=8194174370045&river=0&coast=0&farms=0&citadel=1&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
46,Browen,Roclifia,Roclifia Territory,Seavedonia,Holy State of Seavedonia,Westen,Norwickism,1375,685.5,671,-18.65,-12.93,82,99°F,Mecca,,port,,,,temple,,{t1:or;ordinaries:[{ordinary:fessDoubleCotissed;t:azure;line:embattled}];charges:[{charge:bullHeadCaboshed;t:argent;p:def;size:0.4}];shield:heater},https://watabou.github.io/city-generator/?name=Browen&population=1375&size=15&seed=8194174370046&river=0&coast=1&farms=0&citadel=0&urban_castle=0&hub=false&plaza=0&temple=1&walls=0&shantytown=0&gates=-1&sea=0.44
47,Shoverton,Shoverton,Shoverton Parish,Seavedonia,Holy State of Seavedonia,Nortumbic,Nortumbic Beliefs,8389,1250.53,605.04,-13.13,34.36,82,100°F,Mecca,,,citadel,,,temple,,{t1:argent;ordinaries:[{ordinary:bar;t:sable;line:straight}];charges:[{charge:crossPotent;t:argent;p:def;size:0.3}];shield:heater},https://watabou.github.io/city-generator/?name=Shoverton&population=8389&size=29&seed=8194174370047&river=1&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=0&temple=1&walls=0&shantytown=0&gates=-1
48,Siumun,Kuknam,Kuknam Parish,Seavedonia,Holy State of Seavedonia,Guantzu,Guantzu Faith,1382,1108.5,496.5,-4.05,22.47,13,102°F,Mecca,,port,citadel,,,temple,,{t1:or;division:{division:perCross;t:masoned-gules-argent;line:straight};charges:[{charge:sun;t:purpure;p:e;size:1.5}];shield:banner},https://watabou.github.io/city-generator/?name=Siumun&population=1382&size=15&seed=8194174370048&river=0&coast=1&farms=0&citadel=1&urban_castle=1&hub=false&plaza=0&temple=1&walls=0&shantytown=0&gates=-1&sea=1.56
49,Bosterling,Ash,Ash Parish,Withamberia,Diocese of Withamberia,Kentian,Norwickism,30259,246.01,409.31,3.25,-49.71,13,102°F,Mecca,,,citadel,walls,plaza,temple,,{t1:gules;ordinaries:[{ordinary:fess;t:argent;line:straight}];shield:heater},https://watabou.github.io/city-generator/?name=Bosterling&population=30259&size=47&seed=8194174370049&river=0&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=1&temple=1&walls=1&shantytown=0&gates=-1
50,Bicorn Land,Norishinia,Norishinia Seneschalty,Afespia,Kingdom of Afespia,Keltan,Norwickism,3999,309.19,131.45,26.5,-44.42,52,84°F,Aden,,,,,plaza,,,{t1:argent;ordinaries:[{ordinary:chief;t:gules;line:straight}];charges:[{charge:cock;t:or;p:abc;size:0.5}];shield:vesicaPiscis},https://watabou.github.io/city-generator/?name=Bicorn+Land&population=3999&size=22&seed=8194174370050&river=0&coast=0&farms=0&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
51,Inverkeith,Digionvele,Digionvele Earldom,Afespia,Kingdom of Afespia,Keltan,Norwickism,7375,31.68,257.74,15.93,-67.65,1312,93°F,Mecca,,,,,,,,{t1:azure;charges:[{charge:billet;t:argent;p:e;size:1.5}];shield:vesicaPiscis},https://watabou.github.io/city-generator/?name=Inverkeith&population=7375&size=28&seed=8194174370051&river=0&coast=0&farms=0&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
52,Pilmond,Guild,Guild Landgrave,Knutsdonia,Grand Duchy of Knutsdonia,Westen,Norwickism,2529,204.5,485,-3.09,-53.19,30,102°F,Mecca,,port,citadel,,,,,{t1:argent;division:{division:perBend;t:azure;line:wavy};charges:[{charge:crossFleury;t:vert;p:lm;divided:counter;size:0.7}];shield:heater},https://watabou.github.io/city-generator/?name=Pilmond&population=2529&size=18&seed=8194174370052&river=0&coast=1&farms=1&citadel=1&urban_castle=1&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&sea=1.62
